model,decile,rows,treated,control,treatment_rate,control_rate,raw_difference_in_means,identifiable_by_raw_difference,uplift,ci_low,ci_high
s_learner,1,29926,25863,4063,0.315199319491165,0.2483386660103372,0.06686065348082779,True,0.09484796419658835,0.07814752707132469,0.10927471958143659
s_learner,2,29925,25420,4505,0.11585365853658537,0.11675915649278579,-0.0009054979562004156,True,-0.0018191054619658418,-0.011658997975566332,0.008781882737535192
s_learner,3,29925,25373,4552,0.023686595987861114,0.018014059753954304,0.0056725362339068094,True,0.005291838278961499,0.0005271884903751018,0.010119326843883156
s_learner,4,29925,25370,4555,0.009223492313756404,0.007244785949506037,0.001978706364250367,True,0.0018205691162958345,-0.001184267632117983,0.004432276279681594
s_learner,5,29925,25383,4542,0.003939644644053107,0.002642007926023778,0.0012976367180293287,True,0.0012478482889128264,-0.0005412356428168421,0.0028243330707980853
s_learner,6,29925,25461,4464,0.0022779937944306977,0.0029121863799283156,-0.0006341925854976178,True,-0.0006259128529491553,-0.0024748197482410777,0.0010890798122460028
s_learner,7,29925,25338,4587,0.0015786565632646618,0.0013080444735120995,0.0002706120897525623,True,0.00023099397903825742,-0.0009790337058822526,0.001341905683854698
s_learner,8,29925,29834,91,0.000502782060736073,0.0,0.000502782060736073,True,0.0005893952481272338,0.0003143441323345246,0.0009430323970035738
s_learner,9,29925,20965,8960,0.0004769854519437157,0.0008928571428571428,-0.0004158716909134271,True,-0.001394705411427665,-0.002795353944288299,-0.00027097375852281523
s_learner,10,29925,25492,4433,0.008630158481092108,0.009925558312655087,-0.001295399831562979,True,-0.0011875320334525869,-0.004231464025080189,0.0015938704841968008
t_learner,1,29926,25814,4112,0.2805841791276052,0.22689688715953307,0.05368729196807212,True,0.07611377617814231,0.05905503117144535,0.08971955074650718
t_learner,2,29925,25409,4516,0.0822936754693219,0.07440212577502214,0.007891549694299754,True,0.007081003361411898,-0.0016090411910856554,0.015313254769826283
t_learner,3,29925,25365,4560,0.018963138182534988,0.012280701754385965,0.006682436428149023,True,0.006386491918692547,0.0027231305491576536,0.01036343418233899
t_learner,4,29925,25350,4575,0.005996055226824458,0.00546448087431694,0.0005315743525075179,True,0.00038617733671277764,-0.0018697302536415253,0.002864805088560233
t_learner,5,29925,25451,4474,0.0048721071863581,0.004693786320965579,0.0001783208653925207,True,0.00017979066196485233,-0.0021744784065396454,0.0021580470867507964
t_learner,6,29925,25655,4270,0.0015201715065289417,0.000234192037470726,0.0012859794690582157,True,0.0013089731980250798,0.0006198467871865192,0.0019253578105489632
t_learner,7,29925,25164,4761,0.0013511365442695914,0.0008401596303297626,0.0005109769139398288,True,0.0004421447739988192,-0.0006030008458223997,0.001276139598859476
t_learner,8,29925,28028,1897,0.0007849293563579278,0.0005271481286241434,0.0002577812277337844,True,0.0006409919168142152,0.00010319333737396289,0.0011459568970888635
t_learner,9,29925,22851,7074,0.003500940877860925,0.0022618037885213456,0.0012391370893395795,True,-0.0004318298303463955,-0.0026265649889186133,0.0014338754836398131
t_learner,10,29925,25412,4513,0.0829922871084527,0.07533791269665412,0.007654374411798587,True,0.006894459870741668,5.339868881625992e-05,0.015355940026977117
x_learner,1,29926,25893,4033,0.27748812420345265,0.2132407636994793,0.06424736050397334,True,0.09014648692808679,0.07368348488234808,0.10328487815763258
x_learner,2,29925,25397,4528,0.09516872071504509,0.0896643109540636,0.005504409760981488,True,0.004248715456642845,-0.004902843385713067,0.013467540102872018
x_learner,3,29925,25314,4611,0.025598483052856127,0.024072869225764477,0.0015256138270916507,True,0.0006584310903607301,-0.004663633735805188,0.0063089581011752304
x_learner,4,29925,26682,3243,0.015066336856307623,0.011100832562442183,0.0039655042938654406,True,0.007751432554003668,0.0048576783451644385,0.01077723522877658
x_learner,5,29925,24210,5715,0.0030152829409334984,0.004899387576552931,-0.0018841046356194327,True,-0.003388334311407836,-0.006039017615002069,-0.001075720103210172
x_learner,6,29925,25572,4353,0.0034412638823713435,0.0029864461291063634,0.00045481775326498006,True,0.000552877643305312,-0.0012746661326895829,0.0024121235399153086
x_learner,7,29925,25627,4298,0.0012096616849416632,0.0013959981386691485,-0.00018633645372748532,True,-0.0001226431698380827,-0.0012586784748880987,0.0009882685349783579
x_learner,8,29925,29925,0,0.00046783625730994154,,,False,0.0005501022315854181,0.00027505111579270903,0.0009037393804617582
x_learner,9,29925,20498,9427,0.0007317787101180603,0.0007425480004243131,-1.0769290306252878e-05,True,-0.0009747858816128595,-0.002263399599617001,-8.22629487527206e-06
x_learner,10,29925,25381,4544,0.05917812536937079,0.058538732394366196,0.0006393929750045935,True,-0.00042077208431654233,-0.0073571942091148436,0.007021130767939027
causal_forest,1,29926,25791,4135,0.3180954596564693,0.256590084643289,0.06150537501318032,True,0.08527188980975071,0.06973789181357606,0.10005138821467739
causal_forest,2,29925,25451,4474,0.09374877215040667,0.08448815377738042,0.009260618373026247,True,0.009287356462806935,0.0002649389940660507,0.017949875138623294
causal_forest,3,29925,25454,4471,0.025379115266755715,0.023932006262581077,0.0014471090041746383,True,0.001473662845700009,-0.00395770890627234,0.00712418985651451
causal_forest,4,29925,25436,4489,0.0109293914137443,0.008242370238360436,0.002687021175383863,True,0.002655644055712809,-0.0002944998946364347,0.005316884350294446
causal_forest,5,29925,25349,4576,0.004260523097558089,0.003715034965034965,0.0005454881325231238,True,0.00044492018571871316,-0.0014876826918132197,0.0022127601011566692
causal_forest,6,29925,25498,4427,0.002823750882422151,0.003162412468940592,-0.0003386615865184411,True,-0.00029926506846946475,-0.0023432875782506326,0.0015272461156389425
causal_forest,7,29925,25405,4520,0.001928754182247589,0.003097345132743363,-0.0011685909504957738,True,-0.0012030044489312228,-0.003013233510288588,0.0003799397503302478
causal_forest,8,29925,25366,4559,0.002049988173145155,0.0019741171309497698,7.587104219538513e-05,True,3.214683622286161e-05,-0.0017059556094270838,0.001372873518857227
causal_forest,9,29925,25444,4481,0.002436723785568307,0.0011158223610801161,0.0013209014244881909,True,0.0013188947900639276,0.00017576466868914105,0.002290167133019968
causal_forest,10,29925,25305,4620,0.020470262793914246,0.019696969696969695,0.0007732930969445509,True,1.942788203925738e-05,-0.004375420091643207,0.0037870151808345976
response_model,1,29926,25797,4129,0.3750048455246734,0.32235408089125694,0.05265076463341645,True,0.08270000935188229,0.06371499786405976,0.09922867420666372
response_model,2,29925,25397,4528,0.0685514037090995,0.058083038869257954,0.010468364839841544,True,0.00964062221049456,0.0014730278199086798,0.01735671624869833
response_model,3,29925,25447,4478,0.01933430266829096,0.01652523447967843,0.0028090681886125297,True,0.0027965350527494218,-0.001314103451324458,0.007256980290709472
response_model,4,29925,25293,4632,0.008618985490056538,0.005613126079447323,0.0030058594106092146,True,0.002756061981366878,0.0005337020594494519,0.005077636770052387
response_model,5,29925,25490,4435,0.004315417810906237,0.0036076662908680946,0.0007077515200381427,True,0.0007469606659080719,-0.0012970618438730955,0.0025468998948990585
response_model,6,29925,25410,4515,0.002243211334120425,0.0022148394241417496,2.8371909978675437e-05,True,5.157471826211887e-06,-0.0016523942899130115,0.0015757980189425168
response_model,7,29925,25502,4423,0.0011371657124931377,0.0011304544426859599,6.711269807177858e-06,True,2.222524418401368e-05,-0.0011028558769406688,0.0010462257343775367
response_model,8,29925,25501,4424,0.0010195678600839182,0.000678119349005425,0.0003414485110784933,True,0.0003512550887700222,-0.0005155733352562384,0.001112508115316002
response_model,9,29925,25403,4522,0.0007085777270401134,0.0004422821760283061,0.0002662955510118073,True,0.0002603654035412252,-0.000509212804544042,0.0008516264158315333
response_model,10,29925,25259,4666,0.0003958984916267469,0.0006429489927132448,-0.0002470505010864979,True,-0.000277433175899027,-0.0012311728145482062,0.0003414323833951887
