model,selected_on_validation,qini,auuc,uplift_at_10,uplift_at_20,uplift_at_30
s_learner,True,0.004689734793117045,0.009639944394600333,0.09484796419658835,0.04651523693167659,0.03277425710764234
t_learner,False,0.00370829995619249,0.008658509557675777,0.07611377617814231,0.0415979664750353,0.029860939027849448
x_learner,False,0.004540948507811733,0.009491158109295022,0.09014648692808679,0.047198318789159116,0.03168519568959418
causal_forest,False,0.0044002214743678845,0.00935043107585117,0.08527188980975071,0.047280257917095746,0.03201156297065664
response_model,False,0.004312206021209643,0.009262415622692933,0.08270000935188229,0.04617092612510199,0.03171295681437139
